Scutellinia cubensis
Lepiota oreadiformis
Hygrophorus pseudodiscoideus
Peziza praetervisa
Hypoxylon fragiforme
Leucoagaricus barssii
Peniophorella praetermissa
Hydnellum scabrosum
Legaliana muscicola
Xylaria hypoxylon
Omphalina olearis
Inonotus hispidus
Malvipezia pauli
Hydnellum caeruleum
Steccherinum ochraceum
Mycena alcalina
Russula rutila
Humaria hemisphaerica
Octospora leucoloma
Helvella unicolor
Pseudohydropus floccipes
Smardaea planchonis
Typhrasa gossypina
Helvella semiobruta
Helvella acetabulum
Tricholoma terreum
Anthracobia tristis
Peziza badiofusca
Cyathus olla
Crepidotus calolepis
Phellodon niger
Pholiota gummosa
Lepiota cystophoroides
Rheubarbariboletus armeniacus
Pluteus chrysophaeus
Dissingia leucomelaena
Peziza subumbrina
Sepultariella patavina
Ascobolus carbonarius
Entoloma rusticoides
Hygrophorus cossus
Inocybe whitei
Lyophyllum caerulescens
Ganoderma lucidum
Agaricus xanthodermus
Mycena acicula
Geastrum triplex
Clitopilus hobsonii
Clavulina cinerea
Cryptomarasmius corbariensis
Sepultariella semiimmersa
Hydnellum concrescens
Szczepkamyces campestris
Mycena renati
Coprinopsis romagnesiana
Ciboria batschiana
Diatrype stigma
Ionopezia gerardii
Malvipezia howsei
Entoloma undatum
Octospora areolata
Stereum hirsutum
Suillellus queletii
Paragalactinia michelii
Peziza varia
Tremella mesenterica
Cuphophyllus virgineus
Geopyxis majalis
Hohenbuehelia petaloides
Marcelleina atroviolacea
Chamaemyces fracidus
Scutellinia barlae
Macrolepiota mastoidea
Volvopluteus gloiocephalus
Tapinella panuoides
Leratiomyces squamosus
Scleroderma citrinum
Inocutis tamaricis
Arrhenia rickenii
Gymnopus erythropus
Mallocybe terrigena
Paragalactinia succosella
Inocybe dulcamara
Rubroboletus lupinus
Psathyrella prona
Agaricus bernardiiformis
Candolleomyces candolleanus
Geastrum fimbriatum
Smardaea ovalispora
Lyophyllum deliberatum
Peziza ampliata
Leucoinocybe lenta
Lamprospora dictydiola
Cortinarius rickenianus
Plicaria atrospora
Marasmius epiphyllus
Infundibulicybe squamulosa
Trichaptum biforme
Lepiota castanea
Amanita mairei
Clavaria falcata
Cupreoboletus poikilochromus
Hydnocystis piligera
Geopyxis carbonaria
Hygrophorus arbustivus
Caloboletus radicans
Clavaria fragilis
Melanoleuca brevipes
Suillellus luridus
Xylobolus frustulatus
Lyophyllum loricatum
Sarcosphaera coronaria
Rhizocybe vermicularis
Geopora foliacea
Peziza tosta
Gymnopilus junonius
Marcelleina persoonii
Plicaria endocarpoides
Schizophyllum commune
Octospora tuberculata
Trichophaea hybrida
Hohenbuehelia repanda
Tarzetta cupularis
Iodophanus testaceus
Tubaria furfuracea
Phellodon fuligineoalbus
Aureoboletus moravicus
Glutinoglossum glutinosum
Peniophora lycii
Psilocybe coronilla
Ramaria aurea
Leucopaxillus gentianeus
Geopora sumneriana
Cheilymenia theleboloides
Phloeomana hiemalis
Peziza nivalis
Melanogaster broomeanus
Lepista nuda
Hygrocybe acutoconica
Clavulinopsis aurantiocinnabarina
Agaricus campestris
Morchella esculenta
Pulvinula cinnabarina
Imperator torosus
