,species,infraspecificEpithet,class,iucnRedListCategory,kingdom,sex,phylum,specificEpithet,vernacularName,genericName,family,datasetName,higherClassification,subgenus,organismName
0,Scutellinia cubensis,,Scutellinia cubensis,Scutellinia cubensis,Scutellinia cubensis,,Scutellinia cubensis,Scutellinia cubensis,,Scutellinia cubensis,Scutellinia cubensis,,,,
1,Lepiota oreadiformis,,Lepiota oreadiformis,Lepiota oreadiformis,Lepiota oreadiformis,,Lepiota oreadiformis,oreadiformis,,Lepiota oreadiformis,Lepiota oreadiformis,iNaturalist research-grade observations,Lepiota oreadiformis,,
2,Hygrophorus pseudodiscoideus,Hygrophorus pseudodiscoideus,Hygrophorus pseudodiscoideus,Hygrophorus pseudodiscoideus,Hygrophorus pseudodiscoideus,,Hygrophorus pseudodiscoideus,Hygrophorus pseudodiscoideus,,Hygrophorus pseudodiscoideus,Hygrophorus pseudodiscoideus,iNaturalist research-grade observations,,,
3,Peziza praetervisa,,Peziza praetervisa,Peziza praetervisa,Peziza praetervisa,,Peziza praetervisa,Peziza praetervisa,,Peziza praetervisa,Peziza praetervisa,Fungal occurrences from the Basque Country and neighbouring areas: ARAN-Fungi,Peziza praetervisa,,
4,Hypoxylon fragiforme,,Hypoxylon fragiforme,Hypoxylon fragiforme,Hypoxylon fragiforme,,Hypoxylon fragiforme,Hypoxylon fragiforme,,Hypoxylon fragiforme,Hypoxylon fragiforme,iNaturalist research-grade observations,Fungi|Hypoxylaceae,,
5,Leucoagaricus barssii,,Leucoagaricus barssii,Leucoagaricus barssii,Leucoagaricus barssii,,Leucoagaricus barssii,barssii,,Leucoagaricus barssii,Leucoagaricus barssii,Fungal occurrences from the Basque Country and neighbouring areas: ARAN-Fungi,Leucoagaricus barssii,,
6,Peniophorella praetermissa,,Peniophorella praetermissa,Peniophorella praetermissa,Peniophorella praetermissa,,Peniophorella praetermissa,praetermissa,,Peniophorella,Peniophorella praetermissa,Fungal occurrences from the Basque Country and neighbouring areas: ARAN-Fungi,,,
7,Hydnellum scabrosum,,Hydnellum scabrosum,Hydnellum scabrosum,Hydnellum scabrosum,,Hydnellum scabrosum,scabrosum,,Hydnellum,Hydnellum scabrosum,Fungal occurrences from the Basque Country and neighbouring areas: ARAN-Fungi,Hydnellum scabrosum,,
8,Legaliana muscicola,,Legaliana muscicola,Legaliana muscicola,Legaliana muscicola,,Legaliana muscicola,Legaliana muscicola,,Legaliana muscicola,Legaliana muscicola,CSIC-Real Jardín Botánico-Colección de Hongos (MA-Fungi),,,
9,Xylaria hypoxylon,Xylaria hypoxylon,Xylaria hypoxylon,Xylaria hypoxylon,Xylaria hypoxylon,,Xylaria hypoxylon,hypoxylon,Xylaria hypoxylon,Xylaria,Xylaria hypoxylon,iNaturalist research-grade observations,Fungi|Ascomycota|Pezizomycotina|Sordariomycetes|Xylariomycetidae|Hypocreomycetidae|Xylariales|Hypocreales|Xylariaceae|Cordycipitaceae|Xylaria,,
10,Omphalina olearis,,Omphalina olearis,Omphalina olearis,Omphalina olearis,,Omphalina olearis,Omphalina olearis,,Omphalina olearis,Omphalina olearis,,,,
11,Inonotus hispidus,,Inonotus hispidus,Inonotus hispidus,Inonotus hispidus,,Inonotus hispidus,Inonotus hispidus,,Inonotus,Inonotus hispidus,iNaturalist research-grade observations,Fungi|Hymenochaetaceae,,
12,Malvipezia pauli,,Malvipezia pauli,Malvipezia pauli,Malvipezia pauli,,Malvipezia pauli,pauli,,Malvipezia pauli,Malvipezia pauli,SIM-Fungal occurrences compiled by the Iberian Mycological Society,,,
